TopScore;Date
124;1605267565595
124;1605267615613
124;1605267565595
124;1605267615613
124;1605267565595
124;1605267615613
124;1605267565595
124;1605267615613
124;1605267565595
124;1605267615613
124;1605267565595
124;1605267615613
124;1605267565595
124;1605267615613
124;1605267565595
124;1605267615613
124;1605267565595
124;1605267615613
124;1605267565595
124;1605267615613
124;1605267565595
124;1605267615613
124;1605267565595
124;1605267615613
124;1605267565595
124;1605267615613
124;1605267565595
124;1605267615613
124;1605267565595
123;1605267629120
123;1605267609680
123;1605267629120
123;1605267609680
123;1605267629120
123;1605267609680
123;1605267629120
123;1605267609680
123;1605267629120
123;1605267609680
123;1605267629120
123;1605267609680
123;1605267629120
123;1605267609680
123;1605267629120
123;1605267609680
123;1605267629120
123;1605267609680
123;1605267629120
123;1605267609680
123;1605267629120
123;1605267609680
123;1605267629120
123;1605267609680
123;1605267629120
123;1605267609680
123;1605267629120
123;1605267609680
123;1605267629120
123;1605267609680
123;1605267629120
123;1605267609680
37;1605272683548
0;1605272724237
0;1605272455210
0;1605272448370
0;1605272422330
0;1605272420844
0;1605268313071
0;1605268224971
0;1605272448540
0;1605272448370
0;1605272422330
0;1605272420844
0;1605268313071
0;1605268224971
0;1605272448699
0;1605272448370
0;1605272422330
0;1605272420844
0;1605268313071
0;1605268224971
0;1605272448540
0;1605272448370
0;1605272422330
0;1605272420844
0;1605268313071
0;1605268224971
0;1605272450300
0;1605272448370
0;1605272422330
0;1605272420844
0;1605268313071
0;1605268224971
0;1605272448540
0;1605272448370
0;1605272422330
0;1605272420844
0;1605268313071
0;1605268224971
0;1605272448699
0;1605272448370
0;1605272422330
0;1605272420844
0;1605268313071
0;1605268224971
0;1605272448540
0;1605272448370
0;1605272422330
0;1605272420844
0;1605268313071
0;1605268224971
0;1605272455355
0;1605272455210
0;1605272448370
0;1605272422330
0;1605272420844
0;1605268313071
0;1605268224971
0;1605272448540
0;1605272448370
0;1605272422330
0;1605272420844
0;1605268313071
0;1605268224971
0;1605272448699
0;1605272448370
0;1605272422330
0;1605272420844
0;1605268313071
0;1605268224971
0;1605272448540
0;1605272448370
0;1605272422330
0;1605272420844
0;1605268313071
0;1605268224971
0;1605272450300
0;1605272448370
0;1605272422330
0;1605272420844
0;1605268313071
0;1605268224971
0;1605272448540
0;1605272448370
0;1605272422330
0;1605272420844
0;1605268313071
0;1605268224971
0;1605272448699
0;1605272448370
0;1605272422330
0;1605272420844
0;1605268313071
0;1605268224971
0;1605272448540
0;1605272448370
0;1605272422330
0;1605272420844
0;1605268313071
0;1605268224971
